epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1714,1.4671,3.34447,1.72968,0.11226,0.22057,0.16993,0.08751,1.68132,3.63316,2.24168,0.000366351,0.000366351,0.000366351
2,22.8088,1.32674,2.65184,1.55333,0.2809,0.36496,0.18603,0.09687,1.75379,3.34877,2.47618,0.000729391,0.000729391,0.000729391
3,31.166,1.36847,2.42,1.56476,0.19969,0.43554,0.1634,0.06699,1.87046,3.22795,2.26045,0.0010851,0.0010851,0.0010851
4,39.4372,1.36144,2.24673,1.55193,0.2214,0.5314,0.29602,0.15126,1.54401,2.76039,1.9906,0.001078,0.001078,0.001078
5,47.6998,1.29994,1.99172,1.52032,0.30112,0.54467,0.3214,0.18,1.56499,1.95369,2.0267,0.001067,0.001067,0.001067
6,55.8877,1.2903,1.90677,1.49478,0.28471,0.53836,0.3496,0.19287,1.49216,2.17586,2.04963,0.00105601,0.00105601,0.00105601
7,64.1089,1.25723,1.79968,1.4851,0.34635,0.61074,0.41267,0.24909,1.42243,1.74397,1.83964,0.00104501,0.00104501,0.00104501
8,72.3467,1.21733,1.69787,1.43629,0.32825,0.47686,0.39205,0.24629,1.3601,1.79242,1.82305,0.00103401,0.00103401,0.00103401
9,80.5363,1.22107,1.67554,1.45875,0.38744,0.56307,0.44415,0.28609,1.32605,1.6758,1.74963,0.00102301,0.00102301,0.00102301
10,88.7369,1.19944,1.608,1.42483,0.56442,0.3861,0.47276,0.29789,1.31147,1.60594,1.76348,0.00101201,0.00101201,0.00101201
11,96.982,1.17849,1.58174,1.42179,0.38718,0.5201,0.45587,0.28139,1.37817,1.69938,1.7888,0.00100101,0.00100101,0.00100101
12,105.177,1.13969,1.51547,1.3904,0.42038,0.57042,0.44765,0.27887,1.40108,1.69304,1.83608,0.000990012,0.000990012,0.000990012
13,113.353,1.1665,1.51017,1.39365,0.45883,0.5729,0.51628,0.32141,1.3878,1.59394,1.84797,0.000979013,0.000979013,0.000979013
14,121.562,1.13278,1.44641,1.37797,0.33827,0.63712,0.47663,0.29689,1.29585,1.64155,1.78286,0.000968014,0.000968014,0.000968014
15,129.748,1.10436,1.41051,1.35809,0.36887,0.47471,0.44334,0.27867,1.39425,1.69723,1.81751,0.000957015,0.000957015,0.000957015
16,137.976,1.09037,1.39512,1.35023,0.39093,0.62721,0.49533,0.30199,1.40075,1.67836,1.88352,0.000946016,0.000946016,0.000946016
17,146.128,1.08594,1.326,1.347,0.41424,0.61058,0.4989,0.30878,1.36497,1.58862,1.77889,0.000935018,0.000935018,0.000935018
18,154.248,1.07964,1.32295,1.33764,0.49363,0.55719,0.51706,0.32186,1.33014,1.566,1.78652,0.000924019,0.000924019,0.000924019
19,162.427,1.04504,1.29562,1.33057,0.45664,0.49785,0.4865,0.29466,1.38786,1.59243,1.81367,0.00091302,0.00091302,0.00091302
20,170.589,1.04795,1.26574,1.33019,0.5178,0.5647,0.5173,0.32251,1.39844,1.62308,1.8493,0.000902021,0.000902021,0.000902021
21,178.776,1.04166,1.25139,1.31761,0.50193,0.52377,0.53944,0.34439,1.36974,1.53498,1.84928,0.000891022,0.000891022,0.000891022
22,186.985,1.01694,1.25023,1.29246,0.42402,0.48647,0.49816,0.30277,1.35708,1.6549,1.80074,0.000880023,0.000880023,0.000880023
23,195.101,1.02815,1.24508,1.30677,0.43798,0.6324,0.52616,0.32626,1.44797,1.58661,1.91962,0.000869024,0.000869024,0.000869024
24,203.262,0.98526,1.20469,1.25828,0.61573,0.46887,0.45578,0.26127,1.57919,1.99821,2.17941,0.000858025,0.000858025,0.000858025
25,211.447,0.95947,1.13587,1.27362,0.42026,0.61072,0.50443,0.3102,1.34898,1.55268,1.80044,0.000847026,0.000847026,0.000847026
26,219.668,0.97745,1.15525,1.27537,0.44797,0.56407,0.54047,0.33199,1.4307,1.5034,1.91213,0.000836027,0.000836027,0.000836027
27,227.826,0.9715,1.08365,1.26077,0.45951,0.49646,0.47428,0.29147,1.32237,1.75614,1.73388,0.000825029,0.000825029,0.000825029
28,236.02,0.97401,1.09018,1.25831,0.42212,0.50826,0.50259,0.29883,1.42036,1.66748,1.83914,0.00081403,0.00081403,0.00081403
29,244.162,0.97425,1.0585,1.26178,0.45006,0.52358,0.49776,0.31099,1.4169,1.7392,1.88715,0.000803031,0.000803031,0.000803031
30,252.26,0.97296,1.03514,1.26103,0.57422,0.55801,0.53556,0.35129,1.31153,1.60104,1.77453,0.000792032,0.000792032,0.000792032
31,260.477,0.93577,1.04552,1.24516,0.57096,0.61074,0.5722,0.3477,1.4114,1.50255,1.87839,0.000781033,0.000781033,0.000781033
32,268.683,0.92588,1.03971,1.24638,0.58242,0.52964,0.56365,0.34852,1.32623,1.59694,1.74934,0.000770034,0.000770034,0.000770034
33,276.856,0.94249,1.00103,1.23588,0.52306,0.5294,0.53161,0.32856,1.39999,1.68599,1.83911,0.000759035,0.000759035,0.000759035
34,284.986,0.91066,1.02427,1.22461,0.47379,0.52931,0.52354,0.33235,1.38406,1.73367,1.81651,0.000748036,0.000748036,0.000748036
35,293.118,0.91078,0.97059,1.22254,0.51286,0.46762,0.50317,0.31955,1.35339,1.88876,1.88783,0.000737037,0.000737037,0.000737037
36,301.283,0.86425,0.93971,1.19893,0.53116,0.53305,0.54374,0.32624,1.3988,1.62328,1.9091,0.000726038,0.000726038,0.000726038
37,309.449,0.88147,0.92951,1.20303,0.58276,0.54758,0.53479,0.33103,1.38007,1.5527,1.82976,0.00071504,0.00071504,0.00071504
38,317.609,0.88666,0.95018,1.21645,0.57614,0.52719,0.56181,0.35429,1.3439,1.60447,1.87453,0.000704041,0.000704041,0.000704041
39,325.753,0.89446,0.91447,1.22414,0.5215,0.55359,0.55199,0.34834,1.32894,1.56953,1.81299,0.000693042,0.000693042,0.000693042
40,333.903,0.85958,0.9065,1.19201,0.51441,0.62839,0.57191,0.36319,1.39199,1.57086,1.89102,0.000682043,0.000682043,0.000682043
41,342.08,0.8587,0.90261,1.19276,0.49381,0.46964,0.50447,0.32471,1.3772,1.66587,1.86259,0.000671044,0.000671044,0.000671044
42,350.201,0.85308,0.90231,1.19723,0.57168,0.54388,0.55813,0.35662,1.39438,1.82977,1.88986,0.000660045,0.000660045,0.000660045
43,358.405,0.8347,0.83826,1.18114,0.42511,0.66979,0.54598,0.32788,1.44742,1.62842,1.95077,0.000649046,0.000649046,0.000649046
44,366.638,0.82892,0.86042,1.18007,0.46865,0.63084,0.54551,0.3479,1.34289,1.6848,1.86307,0.000638047,0.000638047,0.000638047
45,374.789,0.83146,0.84703,1.18186,0.46978,0.62842,0.52969,0.33975,1.35182,1.70891,1.83956,0.000627048,0.000627048,0.000627048
46,382.904,0.81642,0.83002,1.16814,0.56555,0.54019,0.5364,0.33692,1.35275,1.72454,1.87364,0.000616049,0.000616049,0.000616049
47,391.035,0.79962,0.83531,1.16294,0.49944,0.57856,0.53707,0.33173,1.4183,1.75,1.94102,0.000605051,0.000605051,0.000605051
48,399.235,0.79325,0.82083,1.16588,0.57269,0.62643,0.56205,0.35596,1.33465,1.74033,1.8366,0.000594052,0.000594052,0.000594052
49,407.384,0.79219,0.78025,1.15942,0.57975,0.63329,0.58183,0.36335,1.40135,1.85512,1.93842,0.000583053,0.000583053,0.000583053
50,415.566,0.80002,0.79763,1.15138,0.50892,0.61154,0.56899,0.36364,1.40326,1.52728,1.90997,0.000572054,0.000572054,0.000572054
51,423.773,0.78541,0.79133,1.15042,0.50609,0.6549,0.57381,0.37208,1.31468,1.64125,1.83478,0.000561055,0.000561055,0.000561055
52,432.011,0.79513,0.75694,1.15403,0.57074,0.61682,0.55521,0.3438,1.4302,1.61293,1.90782,0.000550056,0.000550056,0.000550056
53,440.19,0.78925,0.75115,1.15602,0.58888,0.47037,0.53794,0.34508,1.35661,1.8462,1.90211,0.000539057,0.000539057,0.000539057
54,448.357,0.79519,0.81237,1.15517,0.53762,0.56459,0.4917,0.30983,1.38374,1.88303,1.89442,0.000528058,0.000528058,0.000528058
55,456.548,0.74939,0.74849,1.12803,0.53244,0.52921,0.5613,0.34624,1.38924,1.63154,1.97356,0.000517059,0.000517059,0.000517059
56,464.824,0.77405,0.7219,1.12946,0.61044,0.46689,0.54997,0.35495,1.39415,1.81718,1.97479,0.00050606,0.00050606,0.00050606
57,473.002,0.77281,0.73269,1.12578,0.49699,0.57075,0.55638,0.35227,1.40395,1.67763,1.95356,0.000495062,0.000495062,0.000495062
58,481.154,0.7393,0.69834,1.11926,0.48313,0.58731,0.52958,0.33396,1.35785,1.77527,1.90803,0.000484063,0.000484063,0.000484063
59,489.329,0.75926,0.72369,1.13046,0.6031,0.54551,0.55301,0.36192,1.35179,1.68799,1.91813,0.000473064,0.000473064,0.000473064
60,497.508,0.73872,0.69951,1.11735,0.52503,0.59956,0.55562,0.36114,1.34775,1.6529,1.96459,0.000462065,0.000462065,0.000462065
61,505.679,0.72943,0.67811,1.10847,0.67963,0.50273,0.57034,0.37704,1.35585,1.64508,1.91256,0.000451066,0.000451066,0.000451066
62,513.897,0.72046,0.73038,1.10886,0.68015,0.52681,0.57283,0.36525,1.36883,1.74102,1.95417,0.000440067,0.000440067,0.000440067
63,522.018,0.72332,0.69726,1.10729,0.54729,0.64978,0.5678,0.3567,1.37335,1.66011,1.94403,0.000429068,0.000429068,0.000429068
64,530.191,0.71176,0.69024,1.1046,0.53705,0.61692,0.58058,0.37611,1.3441,1.69889,1.90911,0.000418069,0.000418069,0.000418069
