epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9575,1.4671,3.34447,1.72968,0.11226,0.22057,0.16993,0.08751,1.68132,3.63316,2.24168,0.000366351,0.000366351,0.000366351
2,21.524,1.34429,2.64616,1.55919,0.24339,0.48341,0.21583,0.11225,1.56034,3.42731,2.07951,0.000733038,0.000733038,0.000733038
3,29.9367,1.36181,2.42421,1.56793,0.2386,0.37208,0.20125,0.10428,1.70892,2.74988,2.16856,0.00109606,0.00109606,0.00109606
4,38.2354,1.36,2.2461,1.55269,0.30792,0.27172,0.27703,0.15884,1.54824,2.47262,1.97878,0.0010945,0.0010945,0.0010945
5,46.4458,1.29206,1.99271,1.51147,0.22451,0.35899,0.2949,0.17137,1.55164,2.30839,1.99294,0.001089,0.001089,0.001089
6,54.7384,1.27611,1.90187,1.48439,0.28741,0.70716,0.37871,0.2122,1.46552,1.9603,1.94273,0.0010835,0.0010835,0.0010835
7,62.9668,1.25409,1.77454,1.48938,0.38805,0.5888,0.38722,0.2321,1.47704,1.80866,1.96597,0.001078,0.001078,0.001078
8,71.2436,1.20478,1.70738,1.4338,0.36898,0.4033,0.38362,0.2437,1.31921,1.85992,1.77296,0.0010725,0.0010725,0.0010725
9,79.5099,1.19361,1.7049,1.4477,0.28059,0.70269,0.41804,0.26924,1.33759,1.79968,1.80045,0.001067,0.001067,0.001067
10,87.8032,1.19203,1.64659,1.42471,0.47902,0.38228,0.41516,0.25396,1.40687,1.71579,1.80441,0.0010615,0.0010615,0.0010615
11,95.96,1.17362,1.60841,1.43003,0.3286,0.42712,0.4377,0.25629,1.48824,1.68916,1.91666,0.00105601,0.00105601,0.00105601
12,104.167,1.17344,1.56737,1.41339,0.28541,0.60864,0.41306,0.25748,1.37381,1.70448,1.76351,0.00105051,0.00105051,0.00105051
13,112.383,1.16303,1.54054,1.40259,0.44058,0.41038,0.45345,0.27138,1.35867,1.69634,1.78514,0.00104501,0.00104501,0.00104501
14,120.625,1.14468,1.47399,1.38398,0.42515,0.55659,0.45048,0.28174,1.35664,1.62145,1.74535,0.00103951,0.00103951,0.00103951
15,128.842,1.11507,1.45486,1.35896,0.4297,0.50975,0.47361,0.28377,1.38749,1.79882,1.74582,0.00103401,0.00103401,0.00103401
16,137.122,1.0919,1.40696,1.34938,0.38603,0.63398,0.50253,0.32713,1.34405,1.58029,1.78787,0.00102851,0.00102851,0.00102851
17,145.378,1.08121,1.38988,1.35501,0.31034,0.63897,0.40543,0.26032,1.3499,1.82213,1.73912,0.00102301,0.00102301,0.00102301
18,153.557,1.08487,1.36718,1.35202,0.47557,0.50802,0.51238,0.32562,1.33597,1.60504,1.77362,0.00101751,0.00101751,0.00101751
19,161.758,1.06991,1.31493,1.34577,0.49015,0.54406,0.52085,0.33418,1.4561,1.51996,1.87097,0.00101201,0.00101201,0.00101201
20,170.032,1.0655,1.27988,1.33877,0.41234,0.56469,0.49526,0.3109,1.39424,1.64919,1.77336,0.00100651,0.00100651,0.00100651
21,178.255,1.06849,1.29467,1.34206,0.45973,0.5824,0.50884,0.3125,1.4457,1.60279,1.90189,0.00100101,0.00100101,0.00100101
22,186.435,1.0261,1.27701,1.30512,0.36913,0.61552,0.44561,0.28257,1.29736,1.69997,1.71604,0.000995512,0.000995512,0.000995512
23,194.656,1.03365,1.25254,1.30755,0.52572,0.49617,0.53926,0.34264,1.38079,1.58551,1.78355,0.000990012,0.000990012,0.000990012
24,202.834,1.01192,1.22681,1.27027,0.44818,0.58386,0.52936,0.32983,1.41227,1.57548,1.80331,0.000984513,0.000984513,0.000984513
25,211.021,1.00916,1.21205,1.30459,0.45457,0.60673,0.52529,0.33544,1.34798,1.5548,1.81611,0.000979013,0.000979013,0.000979013
26,219.19,1.01456,1.21649,1.30516,0.47046,0.58991,0.5603,0.34889,1.37633,1.48785,1.80681,0.000973514,0.000973514,0.000973514
27,227.412,0.9852,1.11306,1.27477,0.46348,0.62577,0.56934,0.34617,1.36305,1.63175,1.80275,0.000968014,0.000968014,0.000968014
28,235.656,0.99687,1.13973,1.26893,0.54772,0.5294,0.53969,0.34263,1.37443,1.56225,1.80335,0.000962515,0.000962515,0.000962515
29,243.87,0.99464,1.12686,1.27507,0.46959,0.56476,0.49654,0.30753,1.41935,1.65311,1.8487,0.000957015,0.000957015,0.000957015
30,252.066,0.99926,1.12981,1.28379,0.58187,0.60008,0.54736,0.34248,1.33817,1.6293,1.78978,0.000951516,0.000951516,0.000951516
